threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.0,40,1960,0,0,2000,0.98,0.02,1.0
0.005,39,1384,576,1,1423,0.9725931131412509,0.027406886858749122,0.975
0.01,39,1130,830,1,1169,0.9666381522668948,0.033361847733105215,0.975
0.015,39,961,999,1,1000,0.961,0.039,0.975
0.02,38,863,1097,2,901,0.9578246392896781,0.042175360710321866,0.95
0.025,38,780,1180,2,818,0.9535452322738386,0.04645476772616137,0.95
0.03,38,720,1240,2,758,0.9498680738786279,0.05013192612137203,0.95
0.035,38,661,1299,2,699,0.9456366237482118,0.05436337625178827,0.95
0.04,38,629,1331,2,667,0.9430284857571214,0.05697151424287856,0.95
0.045,38,595,1365,2,633,0.9399684044233807,0.06003159557661927,0.95
0.05,38,562,1398,2,600,0.9366666666666666,0.06333333333333334,0.95
0.055,38,532,1428,2,570,0.9333333333333333,0.06666666666666667,0.95
0.06,38,506,1454,2,544,0.9301470588235294,0.06985294117647059,0.95
0.065,38,485,1475,2,523,0.9273422562141491,0.07265774378585087,0.95
0.07,38,462,1498,2,500,0.924,0.076,0.95
0.075,38,444,1516,2,482,0.921161825726141,0.07883817427385892,0.95
0.08,38,421,1539,2,459,0.9172113289760349,0.08278867102396514,0.95
0.085,38,395,1565,2,433,0.9122401847575058,0.08775981524249422,0.95
0.09,38,373,1587,2,411,0.9075425790754258,0.09245742092457421,0.95
0.095,38,360,1600,2,398,0.9045226130653267,0.09547738693467336,0.95
0.1,38,343,1617,2,381,0.9002624671916011,0.09973753280839895,0.95
0.105,38,336,1624,2,374,0.8983957219251337,0.10160427807486631,0.95
0.11,38,324,1636,2,362,0.8950276243093923,0.10497237569060773,0.95
0.115,38,313,1647,2,351,0.8917378917378918,0.10826210826210826,0.95
0.12,38,308,1652,2,346,0.8901734104046243,0.10982658959537572,0.95
0.125,38,295,1665,2,333,0.8858858858858859,0.11411411411411411,0.95
0.13,37,290,1670,3,327,0.8868501529051988,0.11314984709480122,0.925
0.135,37,284,1676,3,321,0.8847352024922118,0.11526479750778816,0.925
0.14,37,277,1683,3,314,0.8821656050955414,0.1178343949044586,0.925
0.145,37,270,1690,3,307,0.8794788273615635,0.12052117263843648,0.925
0.15,37,264,1696,3,301,0.8770764119601329,0.12292358803986711,0.925
0.155,37,258,1702,3,295,0.8745762711864407,0.12542372881355932,0.925
0.16,36,254,1706,4,290,0.8758620689655172,0.12413793103448276,0.9
0.165,36,242,1718,4,278,0.8705035971223022,0.12949640287769784,0.9
0.17,35,236,1724,5,271,0.8708487084870848,0.12915129151291513,0.875
0.17500000000000002,35,229,1731,5,264,0.8674242424242424,0.13257575757575757,0.875
0.18,35,220,1740,5,255,0.8627450980392157,0.13725490196078433,0.875
0.185,35,214,1746,5,249,0.8594377510040161,0.14056224899598393,0.875
0.19,35,206,1754,5,241,0.8547717842323651,0.14522821576763487,0.875
0.195,35,199,1761,5,234,0.8504273504273504,0.14957264957264957,0.875
0.2,35,192,1768,5,227,0.8458149779735683,0.15418502202643172,0.875
0.20500000000000002,34,185,1775,6,219,0.8447488584474886,0.1552511415525114,0.85
0.21,34,181,1779,6,215,0.8418604651162791,0.15813953488372093,0.85
0.215,34,178,1782,6,212,0.839622641509434,0.16037735849056603,0.85
0.22,34,177,1783,6,211,0.8388625592417062,0.16113744075829384,0.85
0.225,34,170,1790,6,204,0.8333333333333334,0.16666666666666666,0.85
0.23,34,166,1794,6,200,0.83,0.17,0.85
0.23500000000000001,34,164,1796,6,198,0.8282828282828283,0.1717171717171717,0.85
0.24,34,162,1798,6,196,0.826530612244898,0.17346938775510204,0.85
0.245,34,158,1802,6,192,0.8229166666666666,0.17708333333333334,0.85
0.25,34,157,1803,6,191,0.8219895287958116,0.17801047120418848,0.85
0.255,33,155,1805,7,188,0.824468085106383,0.17553191489361702,0.825
0.26,33,153,1807,7,186,0.8225806451612904,0.1774193548387097,0.825
0.265,31,151,1809,9,182,0.8296703296703297,0.17032967032967034,0.775
0.27,31,148,1812,9,179,0.8268156424581006,0.17318435754189945,0.775
0.275,31,145,1815,9,176,0.8238636363636364,0.17613636363636365,0.775
0.28,31,145,1815,9,176,0.8238636363636364,0.17613636363636365,0.775
0.28500000000000003,31,140,1820,9,171,0.8187134502923976,0.18128654970760233,0.775
0.29,31,140,1820,9,171,0.8187134502923976,0.18128654970760233,0.775
0.295,31,136,1824,9,167,0.8143712574850299,0.18562874251497005,0.775
0.3,31,132,1828,9,163,0.8098159509202454,0.1901840490797546,0.775
0.305,30,131,1829,10,161,0.8136645962732919,0.18633540372670807,0.75
0.31,30,130,1830,10,160,0.8125,0.1875,0.75
0.315,30,127,1833,10,157,0.8089171974522293,0.1910828025477707,0.75
0.32,30,124,1836,10,154,0.8051948051948052,0.19480519480519481,0.75
