threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.0,40,1960,0,0,2000,0.98,0.02,1.0
0.005,40,1818,142,0,1858,0.9784714747039828,0.021528525296017224,1.0
0.01,40,1641,319,0,1681,0.9762046400951815,0.02379535990481856,1.0
0.015,40,1495,465,0,1535,0.9739413680781759,0.026058631921824105,1.0
0.02,40,1385,575,0,1425,0.9719298245614035,0.028070175438596492,1.0
0.025,40,1286,674,0,1326,0.9698340874811463,0.030165912518853696,1.0
0.03,40,1210,750,0,1250,0.968,0.032,1.0
0.035,40,1144,816,0,1184,0.9662162162162162,0.033783783783783786,1.0
0.04,39,1084,876,1,1123,0.9652715939447908,0.034728406055209264,0.975
0.045,39,1026,934,1,1065,0.9633802816901409,0.036619718309859155,0.975
0.05,39,972,988,1,1011,0.9614243323442137,0.03857566765578635,0.975
0.055,39,932,1028,1,971,0.9598352214212152,0.04016477857878476,0.975
0.06,39,886,1074,1,925,0.9578378378378378,0.04216216216216216,0.975
0.065,39,848,1112,1,887,0.9560315670800451,0.043968432919954906,0.975
0.07,39,822,1138,1,861,0.9547038327526133,0.04529616724738676,0.975
0.075,39,781,1179,1,820,0.9524390243902439,0.0475609756097561,0.975
0.08,39,740,1220,1,779,0.9499358151476252,0.05006418485237484,0.975
0.085,39,714,1246,1,753,0.9482071713147411,0.05179282868525897,0.975
0.09,39,684,1276,1,723,0.946058091286307,0.05394190871369295,0.975
0.095,39,644,1316,1,683,0.9428989751098097,0.05710102489019034,0.975
0.1,38,623,1337,2,661,0.9425113464447806,0.057488653555219364,0.95
0.105,38,590,1370,2,628,0.9394904458598726,0.06050955414012739,0.95
0.11,38,568,1392,2,606,0.9372937293729373,0.0627062706270627,0.95
0.115,37,544,1416,3,581,0.9363166953528399,0.06368330464716007,0.925
0.12,37,521,1439,3,558,0.9336917562724014,0.06630824372759857,0.925
0.125,37,500,1460,3,537,0.931098696461825,0.06890130353817504,0.925
0.13,37,482,1478,3,519,0.928709055876686,0.07129094412331406,0.925
0.135,37,467,1493,3,504,0.9265873015873016,0.07341269841269842,0.925
0.14,37,447,1513,3,484,0.9235537190082644,0.07644628099173553,0.925
0.145,37,435,1525,3,472,0.9216101694915254,0.07838983050847458,0.925
0.15,37,415,1545,3,452,0.918141592920354,0.08185840707964602,0.925
0.155,37,398,1562,3,435,0.9149425287356322,0.08505747126436781,0.925
0.16,37,386,1574,3,423,0.9125295508274232,0.08747044917257683,0.925
0.165,37,371,1589,3,408,0.9093137254901961,0.09068627450980392,0.925
0.17,37,363,1597,3,400,0.9075,0.0925,0.925
0.17500000000000002,37,342,1618,3,379,0.9023746701846965,0.09762532981530343,0.925
0.18,37,330,1630,3,367,0.8991825613079019,0.1008174386920981,0.925
0.185,37,314,1646,3,351,0.8945868945868946,0.10541310541310542,0.925
0.19,37,297,1663,3,334,0.8892215568862275,0.11077844311377245,0.925
0.195,37,294,1666,3,331,0.8882175226586103,0.11178247734138973,0.925
0.2,37,286,1674,3,323,0.8854489164086687,0.11455108359133127,0.925
0.20500000000000002,37,277,1683,3,314,0.8821656050955414,0.1178343949044586,0.925
0.21,37,269,1691,3,306,0.8790849673202614,0.12091503267973856,0.925
0.215,37,259,1701,3,296,0.875,0.125,0.925
0.22,37,254,1706,3,291,0.872852233676976,0.12714776632302405,0.925
0.225,37,247,1713,3,284,0.8697183098591549,0.13028169014084506,0.925
0.23,37,240,1720,3,277,0.8664259927797834,0.13357400722021662,0.925
0.23500000000000001,36,230,1730,4,266,0.8646616541353384,0.13533834586466165,0.9
0.24,36,218,1742,4,254,0.8582677165354331,0.14173228346456693,0.9
0.245,36,210,1750,4,246,0.8536585365853658,0.14634146341463414,0.9
0.25,36,200,1760,4,236,0.847457627118644,0.15254237288135594,0.9
0.255,35,197,1763,5,232,0.8491379310344828,0.15086206896551724,0.875
0.26,35,194,1766,5,229,0.8471615720524017,0.15283842794759825,0.875
0.265,35,188,1772,5,223,0.8430493273542601,0.15695067264573992,0.875
0.27,35,181,1779,5,216,0.8379629629629629,0.16203703703703703,0.875
0.275,35,177,1783,5,212,0.8349056603773585,0.1650943396226415,0.875
0.28,35,172,1788,5,207,0.8309178743961353,0.16908212560386474,0.875
0.28500000000000003,35,169,1791,5,204,0.8284313725490197,0.1715686274509804,0.875
0.29,35,166,1794,5,201,0.8258706467661692,0.17412935323383086,0.875
0.295,35,159,1801,5,194,0.8195876288659794,0.18041237113402062,0.875
0.3,35,149,1811,5,184,0.8097826086956522,0.19021739130434784,0.875
0.305,35,146,1814,5,181,0.8066298342541437,0.19337016574585636,0.875
0.31,34,143,1817,6,177,0.807909604519774,0.192090395480226,0.85
0.315,34,136,1824,6,170,0.8,0.2,0.85
0.32,33,130,1830,7,163,0.7975460122699386,0.20245398773006135,0.825
0.325,32,129,1831,8,161,0.8012422360248447,0.19875776397515527,0.8
0.33,32,120,1840,8,152,0.7894736842105263,0.21052631578947367,0.8
0.33269494301612423,32,118,1842,8,150,0.7866666666666666,0.21333333333333335,0.8
0.335,32,114,1846,8,146,0.7808219178082192,0.2191780821917808,0.8
