user_id,merchant_id,amount,hour,country,channel,device_type,merchant_category,currency,is_high_risk_country,is_international,card_present,velocity_24h,label
30475,2681,100.07,15,IN,online,web,fashion,EUR,0,0,0,1,0
6511,4691,26.59,19,US,pos,web,gaming,USD,0,0,1,3,0
48281,2954,43.61,7,US,online,ios,fuel,USD,0,0,0,1,0
22771,3607,41.11,11,FR,pos,web,electronics,GBP,0,0,1,0,0
21026,1657,57.67,19,US,online,card,grocery,USD,0,0,0,3,0
40714,4139,36.77,20,US,pos,android,grocery,EUR,0,0,1,1,0
38683,915,130.18,12,CA,pos,web,electronics,USD,0,0,1,2,0
44223,2726,21.15,11,US,pos,android,electronics,USD,0,0,1,0,0
18580,1976,45.96,8,US,mobile,web,utilities,AUD,0,0,0,0,0
26786,929,62.95,18,US,online,web,fashion,USD,0,0,0,0,0
28413,4048,61.14,12,NL,online,web,grocery,GBP,0,0,0,3,0
13110,3671,96.53,4,CA,pos,web,restaurant,USD,0,0,1,1,0
20893,1301,27.24,21,DE,online,android,restaurant,AUD,0,0,0,2,0
42370,4870,72.3,6,DE,online,android,electronics,USD,0,0,0,0,0
46920,698,16.4,9,CA,pos,card,utilities,CAD,0,1,1,0,0
18880,2608,61.06,8,DE,pos,web,electronics,USD,0,0,1,1,0
26812,3028,35.34,18,IN,pos,web,grocery,GBP,0,0,1,1,0
47099,1870,27.34,12,US,online,web,utilities,USD,0,0,0,3,1
43540,4323,182.86,8,DE,mobile,ios,fashion,EUR,0,0,0,0,0
41051,391,45.98,9,CA,online,ios,electronics,USD,0,0,0,0,0
13859,14,129.17,8,FR,online,web,gaming,EUR,0,0,0,6,1
42312,4193,113.58,19,JP,online,web,grocery,USD,0,0,0,2,0
23103,3512,150.75,12,MX,pos,ios,grocery,EUR,0,0,1,1,0
5379,2620,68.31,10,CA,online,ios,digital,USD,0,0,0,1,0
49207,4920,59.36,19,US,mobile,android,utilities,CAD,0,1,0,0,0
18396,4650,1179.64,18,US,online,web,digital,USD,0,0,0,3,1
13153,2218,37.01,10,US,pos,web,digital,USD,0,0,1,4,0
48840,283,145.09,15,US,online,web,fuel,EUR,0,0,0,0,0
